id,kind,name,sortName,birth,death,viaf,wikidata,map,dbi,tgn,geonames,lat,lon,mentions,letters
place-chantilly,place,Chantilly,Chantilly,,,,Q126675,,,7010573,6438625,49.1947,2.4856,1,1
place-charenton-le-pont,place,Charenton-le-Pont,Charenton-le-Pont,,,,Q212793,,,7007614,3026637,48.8268,2.4121,1,1
place-chatillon-sur-seine,place,Châtillon-sur-Seine,Châtillon-sur-Seine,,,,Q244707,,,7008222,3026046,47.8567,4.5728,1,1
place-cognac,place,Cognac,Cognac,,,,Q285,,,7008568,3024440,45.6950,-0.3272,1,1
place-colonia,place,Köln,Köln,,,,Q365,,,7004446,3247451,50.9375,6.9603,1,1
place-corsica,place,Corse,Corse,,,,Q14112,,,7651069,,42.0396,9.0129,1,1
place-de,place,Germany,Germany,,,,Q183,,,7000084,2921044,51.0000,10.0000,16,11
place-ecouen,place,Écouen,Écouen,,,,Q273695,,,7008036,3020440,49.0189,2.3778,2,2
place-england,place,England,England,,,,Q21,,,7002445,2649994,53.0000,-1.0000,14,7
place-es,place,Spain,Spain,,,,Q29,,,1000095,2510769,40.2000,-3.5000,37,11
place-europe,place,Europe,Europe,,,,Q46,,,1000003,6255148,53.5000,15.5000,1,1
place-ferrara,place,Ferrara,Ferrara,,,,Q13362,,,7004264,6542120,44.8392,11.6175,9,7
place-fiandra,place,Flanders,Flanders,,,,Q234,,,7024097,3337388,51.0000,4.5000,12,6
place-firenze,place,Florence,Florence,,,,Q2044,,,7000457,6542285,43.7696,11.2558,10,7
place-flesinga,place,Vlissingen,Vlissingen,,,,Q10084,,,7006750,2745391,51.4428,3.5731,1,1
place-fr,place,France,France,,,,Q142,,,1000070,3017382,47.0000,2.0000,51,20
place-gascogne,place,Gascogne,Gascogne,,,,Q191085,,,,,44.0000,-0.5000,3,2
place-gatinais,place,Gâtinais,Gâtinais,,,,Q1303414,,,7644947,,48.1269,2.7544,1,1
place-genova,place,Genoa,Genoa,,,,Q1449,,,7008546,6542282,44.4072,8.9340,1,1
place-guyenne,place,Guyenne,Guyenne,,,,Q849324,,,,,43.9770,-0.1760,1,1
place-heidelberg,place,Heidelberg,Heidelberg,,,,Q2966,,,7005177,2907911,49.3988,8.6724,1,1
place-hollanda,place,Holland,Holland,,,,Q102911,,,7263522,,52.2500,4.6670,2,2
place-it,place,Italy,Italy,,,,Q38,,,1000080,3175395,42.5000,12.5000,26,17
place-la-charite,place,La Charité,La Charité,,,,Q504883,,,7017054,3010201,47.1778,3.0147,4,3
place-languedoc,place,Languedoc,Languedoc,,,,Q206221,,,7002884,,43.6667,3.1667,1,1
place-lille,place,Lille,Lille,,,,Q648,,,7008461,2998324,50.6319,3.0575,1,1
place-limousin,place,Limousin,Limousin,,,,Q1190,,,7001095,2998268,45.6880,1.6205,1,1
place-livorno,place,Livorno,Livorno,,,,Q6761,,,7006074,6540122,43.5485,10.3106,1,1
place-lombardia,place,Lombardia,Lombardia,,,,Q1210,,,7003237,3174618,45.4700,9.2050,2,1
place-lorraine,place,Lorraine,Lorraine,,,,Q1137,,,7002888,2997551,48.6937,6.1834,5,3
place-lucca,place,Lucca,Lucca,,,,Q13373,,,7003165,6542121,43.8430,10.5077,1,1
place-luxembourg,place,Luxembourg,Luxembourg,,,,Q1842,,,7006254,2960316,49.6117,6.1300,1,1
place-lyon,place,Lyon,Lyon,,,,Q456,,,8728756,2996944,45.7675,4.8350,2,2
place-mantova,place,Mantova,Mantova,,,,Q6247,,,7005879,6541855,45.1563,10.7914,3,3
place-marne,place,Marna,Marna,,,,,,,,,49.0097,4.0367,1,1
place-marseille,place,Marseille,Marseille,,,,Q23482,,,7008781,2995469,43.2965,5.3698,1,1
place-metz,place,Metz,Metz,,,,Q22690,,,7008418,2994160,49.1193,6.1757,1,1
place-milano,place,Milano,Milano,,,,Q490,,,7005903,3173435,45.4642,9.1900,2,2
place-monceau,place,Monceau,Monceau,,,,,,,7249203,,48.8519,3.0036,1,1
place-monferrato,place,Montferrat,Montferrat,,,,Q19868,,,7009566,,45.07,8.27,1,1
place-montargis,place,Montargis,Montargis,,,,Q212352,,,7008336,2993024,48.0019,2.7333,1,1
place-montauban,place,Montauban,Montauban,,,,Q172593,,,7008454,2993002,44.0167,1.3500,2,2
place-montereau,place,Montereau,Montereau,,,,Q242191,,,7009353,2992671,48.3842,2.9500,1,1
place-montlucon,place,Montluçon,Montluçon,,,,Q193256,,,7009366,2992292,46.3400,2.6000,1,1
place-napoli,place,Napoli,Napoli,,,,Q2634,,,7004474,3172395,40.8518,14.2681,1,1
place-navarre,place,Navarre,Navarre,,,,Q63021609,,,,,43.1632,-1.2381,2,1
place-netherlands,place,Netherlands,Netherlands,,,,Q55,,,7016845,2750405,52.3167,5.5500,1,1
place-nevers,place,Nevers,Nevers,,,,Q166997,,,7008240,2990474,46.9917,3.1620,6,6
place-nivernais,place,Nivernais,Nivernais,,,,Q1468519,,,7012206,,47.0000,3.1500,1,1
place-normandie,place,Normandie,Normandie,,,,,,,,,,,4,3
place-orbetello,place,Orbetello,Orbetello,,,,Q214849,,,7006176,6541107,42.4400,11.2133,1,1
